,k,wn
0,1.0,0.065033
1,41.795918367346935,0.40717
2,82.59183673469387,0.55536
3,123.38775510204081,0.65977
4,164.18367346938774,0.74085
5,204.97959183673467,0.80691
6,245.77551020408163,0.86234
7,286.57142857142856,0.90983
8,327.3673469387755,0.95113
9,368.1632653061224,0.98748
10,408.95918367346934,1.0198
11,449.75510204081627,1.0487
12,490.55102040816325,1.0749
13,531.3469387755101,1.0986
14,572.1428571428571,1.1202
15,612.938775510204,1.14
16,653.734693877551,1.1583
17,694.530612244898,1.1751
18,735.3265306122448,1.1907
19,776.1224489795918,1.2052
20,816.9183673469387,1.2188
21,857.7142857142857,1.2314
22,898.5102040816325,1.2433
23,939.3061224489795,1.2544
24,980.1020408163265,1.2649
25,1020.8979591836734,1.2748
26,1061.6938775510203,1.2841
27,1102.4897959183672,1.293
28,1143.2857142857142,1.3013
29,1184.0816326530612,1.3093
30,1224.877551020408,1.3168
31,1265.673469387755,1.324
32,1306.469387755102,1.3309
33,1347.265306122449,1.3374
34,1388.061224489796,1.3436
35,1428.8571428571427,1.3496
36,1469.6530612244896,1.3553
37,1510.4489795918366,1.3608
38,1551.2448979591836,1.3661
39,1592.0408163265304,1.3711
40,1632.8367346938774,1.3759
41,1673.6326530612243,1.3806
42,1714.4285714285713,1.3851
43,1755.2244897959183,1.3894
44,1796.020408163265,1.3936
45,1836.816326530612,1.3976
46,1877.612244897959,1.4015
47,1918.408163265306,1.4052
48,1959.204081632653,1.4088
49,2000.0,1.4124
50,2001.0,1.4124
51,2164.2448979591836,1.4254
52,2327.4897959183672,1.4368
53,2490.734693877551,1.447
54,2653.9795918367345,1.4562
55,2817.224489795918,1.4644
56,2980.469387755102,1.472
57,3143.714285714286,1.4788
58,3306.9591836734694,1.4851
59,3470.204081632653,1.4909
60,3633.4489795918366,1.4963
61,3796.6938775510207,1.5012
62,3959.9387755102043,1.5059
63,4123.183673469388,1.5102
64,4286.428571428572,1.5142
65,4449.673469387755,1.518
66,4612.918367346939,1.5216
67,4776.163265306122,1.525
68,4939.408163265306,1.5282
69,5102.65306122449,1.5312
70,5265.897959183673,1.534
71,5429.142857142857,1.5367
72,5592.387755102041,1.5393
73,5755.632653061224,1.5418
74,5918.877551020409,1.5442
75,6082.122448979591,1.5464
76,6245.367346938776,1.5486
77,6408.6122448979595,1.5506
78,6571.857142857143,1.5526
79,6735.102040816327,1.5545
80,6898.34693877551,1.5563
81,7061.591836734694,1.5581
82,7224.836734693878,1.5598
83,7388.081632653061,1.5615
84,7551.326530612245,1.563
85,7714.571428571428,1.5646
86,7877.816326530612,1.5661
87,8041.061224489796,1.5675
88,8204.30612244898,1.5689
89,8367.551020408162,1.5702
90,8530.795918367347,1.5715
91,8694.040816326531,1.5728
92,8857.285714285714,1.5741
93,9020.530612244898,1.5753
94,9183.775510204083,1.5764
95,9347.020408163266,1.5776
96,9510.265306122448,1.5787
97,9673.510204081633,1.5798
98,9836.755102040817,1.5808
99,10000.0,1.5818
