,gamma,phi,k,wn
0,18,36,5000,0.13986
1,18,36,7000,0.14104
2,18,36,9000,0.14187
3,18,36,11000,0.14251
4,18,36,13000,0.14301
5,18,36,15000,0.14343
6,18,36,17000,0.14379
7,18,36,19000,0.14409
8,18,36,21000,0.14436
9,18,36,23000,0.14459
10,18,36,25000,0.14481
11,18,36,27000,0.145
12,18,36,29000,0.14517
13,18,36,31000,0.14532
14,18,36,33000,0.14547
15,18,36,35000,0.1456
16,18,36,37000,0.14572
17,18,36,39000,0.14583
18,18,36,41000,0.14593
19,18,36,43000,0.14603
20,18,36,45000,0.14612
21,18,36,47000,0.1462
22,18,36,49000,0.14628
23,18,36,51000,0.14636
24,18,36,53000,0.14643
25,18,36,55000,0.14649
26,18,36,57000,0.14655
27,18,36,59000,0.14661
28,18,36,61000,0.14666
29,18,36,63000,0.14672
30,18,36,65000,0.14676
31,18,36,67000,0.14681
32,18,36,69000,0.14685
33,18,36,71000,0.14689
34,18,36,73000,0.14693
35,18,36,75000,0.14697
36,18,36,77000,0.14701
37,18,36,79000,0.14704
38,18,36,81000,0.14707
39,18,36,83000,0.1471
