test,setup,tower,top_mass,scour,wn,test_type,description,ba_scour
1,1,1,1.2793,0,1.47,baseline,1_1_1_baseline,b
1,1,2,1.2797,0,1.464,baseline,2_1_1_baseline,b
1,1,3,1.2808,0,1.466,baseline,3_1_1_baseline,b
2,1,1,1.3289,0,1.44,A,1_1_2_A,b
2,1,2,1.2797,0,1.468,A,2_1_2_A,b
2,1,3,1.319,0,1.444,A,3_1_2_A,b
3,1,1,1.3496,0,1.428,B,1_1_3_B,b
3,1,2,1.3603,0,1.416,B,2_1_3_B,b
3,1,3,1.2808,0,1.47,B,3_1_3_B,b
4,1,1,1.3102,0,1.452,C,1_1_4_C,b
4,1,2,1.3017,0,1.452,C,2_1_4_C,b
4,1,3,1.3614,0,1.418,C,3_1_4_C,b
5,1,1,1.2793,0,1.468,baseline,1_1_5_baseline,b
5,1,2,1.2797,0,1.464,baseline,2_1_5_baseline,b
5,1,3,1.2808,0,1.466,baseline,3_1_5_baseline,b
6,1,1,1.2793,8,1.458,baseline_8mm,1_1_6_baseline_8mm,a
6,1,2,1.2797,0,1.466,baseline,2_1_6_baseline,a
6,1,3,1.2808,0,1.468,baseline,3_1_6_baseline,a
7,1,1,1.3273,8,1.426,A_8mm,1_1_7_A_8mm,a
7,1,2,1.2797,0,1.466,A,2_1_7_A,a
7,1,3,1.3186,0,1.444,A,3_1_7_A,a
8,1,1,1.3495,8,1.412,B_8mm,1_1_8_B_8mm,a
8,1,2,1.3594,0,1.416,B,2_1_8_B,a
8,1,3,1.2808,0,1.468,B,3_1_8_B,a
9,1,1,1.3103,8,1.438,C_8mm,1_1_9_C_8mm,a
9,1,2,1.3026,0,1.45,C,2_1_9_C,a
9,1,3,1.3605,0,1.418,C,3_1_9_C,a
10,2,4,1.2793,0,1.474,baseline,4_2_10_baseline,b
10,2,5,1.2797,0,1.466,baseline,5_2_10_baseline,b
10,2,6,1.2808,0,1.464,baseline,6_2_10_baseline,b
11,2,4,1.3483,0,1.426,A,4_2_11_A,b
11,2,5,1.3287,0,1.432,A,5_2_11_A,b
11,2,6,1.3287,0,1.434,A,6_2_11_A,b
12,2,4,1.2793,0,1.476,baseline,4_2_12_baseline,b
12,2,5,1.2797,0,1.464,baseline,5_2_12_baseline,b
12,2,6,1.2808,0,1.466,baseline,6_2_12_baseline,b
13,2,4,1.3594,0,1.42,B,4_2_13_B,b
13,2,5,1.3394,0,1.426,B,5_2_13_B,b
13,2,6,1.3503,0,1.42,B,6_2_13_B,b
14,2,4,1.3172,0,1.448,C,4_2_14_C,b
14,2,5,1.3285,0,1.432,C,5_2_14_C,b
14,2,6,1.3188,0,1.44,C,6_2_14_C,b
15,2,4,1.2793,8,1.458,baseline_8mm,4_2_15_baseline_8mm,a
15,2,5,1.2797,0,1.462,baseline,5_2_15_baseline,a
15,2,6,1.2808,0,1.464,baseline,6_2_15_baseline,a
16,2,4,1.3501,8,1.414,A_8mm,4_2_16_A_8mm,a
16,2,5,1.3291,0,1.432,A,5_2_16_A,a
16,2,6,1.3292,0,1.434,A,6_2_16_A,a
17,2,4,1.3606,8,1.408,B_8mm,4_2_17_B_8mm,a
17,2,5,1.3382,0,1.428,B,5_2_17_B,a
17,2,6,1.3502,0,1.422,B,6_2_17_B,a
18,2,4,1.3173,8,1.44,C_8mm,4_2_18_C_8mm,a
18,2,5,1.3288,0,1.432,C,5_2_18_C,a
18,2,6,1.3188,0,1.44,C,6_2_18_C,a
19,2,4,1.2793,15,1.448,baseline_15mm,4_2_19_baseline_15mm,a
19,2,5,1.2797,0,1.462,baseline,5_2_19_baseline,a
19,2,6,1.2808,0,1.464,baseline,6_2_19_baseline,a
20,2,4,1.348,15,1.404,A_15mm,4_2_20_A_15mm,a
20,2,5,1.3287,0,1.432,A,5_2_20_A,a
20,2,6,1.3315,0,1.432,A,6_2_20_A,a
21,2,4,1.3583,15,1.398,B_15mm,4_2_21_B_15mm,a
21,2,5,1.3405,0,1.426,B,5_2_21_B,a
21,2,6,1.3504,0,1.422,B,6_2_21_B,a
22,2,4,1.3177,15,1.424,C_15mm,4_2_22_C_15mm,a
22,2,5,1.3293,0,1.432,C,5_2_22_C,a
22,2,6,1.3187,0,1.44,C,6_2_22_C,a
23,2,4,1.2793,25,1.432,baseline_25mm,4_2_23_baseline_25mm,a
23,2,5,1.2797,0,1.462,baseline,5_2_23_baseline,a
23,2,6,1.2808,0,1.466,baseline,6_2_23_baseline,a
24,3,7,1.2793,0,1.462,baseline,7_3_24_baseline,b
24,3,8,1.2797,0,1.466,baseline,8_3_24_baseline,b
24,3,9,1.2808,0,1.462,baseline,9_3_24_baseline,b
25,3,7,1.2897,0,1.466,A,7_3_25_A,b
25,3,8,1.2797,0,1.422,A,8_3_25_A,b
25,3,9,1.362,0,1.458,A,9_3_25_A,b
26,3,7,1.3115,0,1.43,B,7_3_26_B,b
26,3,8,1.3286,0,1.432,B,8_3_26_B,b
26,3,9,1.3408,0,1.444,B,9_3_26_B,b
27,3,7,1.3175,0,1.404,C,7_3_27_C,b
27,3,8,1.3774,0,1.45,C,8_3_27_C,b
27,3,9,1.313,0,1.446,C,9_3_27_C,b
28,3,7,1.2793,0,1.444,baseline,7_3_28_baseline,b
28,3,8,1.2797,15,1.472,baseline_15mm,8_3_28_baseline_15mm,a
28,3,9,1.2808,0,1.462,baseline,9_3_28_baseline,a
29,3,7,1.2891,0,1.444,A,7_3_29_A,a
29,3,8,1.2797,15,1.422,A_15mm,8_3_29_A_15mm,a
29,3,9,1.3617,0,1.458,A,9_3_29_A,a
30,3,7,1.3111,0,1.412,B,7_3_30_B,a
30,3,8,1.3284,15,1.434,B_15mm,8_3_30_B_15mm,a
30,3,9,1.3411,0,1.444,B,9_3_30_B,a
31,3,7,1.3173,0,1.382,C,7_3_31_C,a
31,3,8,1.378,15,1.45,C_15mm,8_3_31_C_15mm,a
31,3,9,1.3133,0,1.442,C,9_3_31_C,a
32,3,7,1.2793,0,1.426,baseline,7_3_32_baseline,a
32,3,8,1.2797,25,1.472,baseline_25mm,8_3_32_baseline_25mm,a
32,3,9,1.2808,0,1.464,baseline,9_3_32_baseline,a
33,3,7,1.29,0,1.424,A,7_3_33_A,a
33,3,8,1.2797,25,1.42,A_25mm,8_3_33_A_25mm,a
33,3,9,1.3615,0,1.458,A,9_3_33_A,a
34,3,7,1.3115,0,1.396,B,7_3_34_B,a
34,3,8,1.3286,25,1.434,B_25mm,8_3_34_B_25mm,a
34,3,9,1.3408,0,1.448,B,9_3_34_B,a
35,3,7,1.3167,0,1.366,C,7_3_35_C,a
35,3,8,1.3783,25,1.45,C_25mm,8_3_35_C_25mm,a
35,3,9,1.313,0,1.438,C,9_3_35_C,a
36,3,7,1.2793,0,1.426,baseline,7_3_36_baseline,a
36,3,8,1.2797,25,1.472,baseline_25mm,8_3_36_baseline_25mm,a
36,3,9,1.2808,0,1.462,baseline,9_3_36_baseline,a
37,3,7,1.2793,0,1.426,baseline,7_3_37_baseline,a
37,3,8,1.2797,25,1.472,baseline_25mm,8_3_37_baseline_25mm,a
37,3,9,1.2808,0,1.46,baseline,9_3_37_baseline,a
38,3,7,1.2793,0,,baseline,7_3_38_baseline,a
38,3,8,1.2797,5,,baseline_5mm,8_3_38_baseline_5mm,a
38,3,9,1.2808,0,,baseline,9_3_38_baseline,a
54,4,10,1.2793,0,1.456,baseline,10_4_54_baseline,b
54,4,11,1.2797,0,1.454,baseline,11_4_54_baseline,b
54,4,12,1.2808,0,1.46,baseline,12_4_54_baseline,b
55,4,10,1.3771,0,1.396,varying_mass,10_4_55_varying_mass,b
55,4,11,1.3281,0,1.426,varying_mass,11_4_55_varying_mass,b
55,4,12,1.2808,0,1.462,varying_mass,12_4_55_varying_mass,b
56,4,10,1.3373,0,1.422,varying_mass,10_4_56_varying_mass,b
56,4,11,1.3505,0,1.412,varying_mass,11_4_56_varying_mass,b
56,4,12,1.3676,0,1.406,varying_mass,12_4_56_varying_mass,b
57,4,10,1.3375,0,1.416,varying_mass,10_4_57_varying_mass,b
57,4,11,1.2912,0,1.45,varying_mass,11_4_57_varying_mass,b
57,4,12,1.2911,0,1.454,varying_mass,12_4_57_varying_mass,b
58,4,10,1.2793,0,1.458,baseline,10_4_58_baseline,a
58,4,11,1.2797,15,1.434,baseline_15mm,11_4_58_baseline_15mm,a
58,4,12,1.2808,0,1.462,baseline,12_4_58_baseline,a
59,4,10,1.2997,0,1.446,varying_mass,10_4_59_varying_mass,a
59,4,11,1.3109,15,1.414,varying_mass_15mm,11_4_59_varying_mass_15mm,a
59,4,12,1.3028,0,1.448,varying_mass,12_4_59_varying_mass,a
60,4,10,1.3175,0,1.428,varying_mass,10_4_60_varying_mass,a
60,4,11,1.362,15,1.384,varying_mass_15mm,11_4_60_varying_mass_15mm,a
60,4,12,1.3113,0,1.44,varying_mass,12_4_60_varying_mass,a
61,4,10,1.3377,0,1.414,varying_mass,10_4_61_varying_mass,a
61,4,11,1.3123,15,1.412,varying_mass_15mm,11_4_61_varying_mass_15mm,a
61,4,12,1.3289,0,1.43,varying_mass,12_4_61_varying_mass,a
62,4,10,1.2793,0,1.456,baseline,10_4_62_baseline,a
62,4,11,1.2797,25,1.416,baseline_25mm,11_4_62_baseline_25mm,a
62,4,12,1.2808,0,1.462,baseline,12_4_62_baseline,a
63,4,10,1.3499,0,1.408,varying_mass,10_4_63_varying_mass,a
63,4,11,1.3677,25,1.364,varying_mass_25mm,11_4_63_varying_mass_25mm,a
63,4,12,1.3298,0,1.43,varying_mass,12_4_63_varying_mass,a
64,4,10,1.317,0,1.428,varying_mass,10_4_64_varying_mass,a
64,4,11,1.3295,25,1.384,varying_mass_25mm,11_4_64_varying_mass_25mm,a
64,4,12,1.3122,0,1.44,varying_mass,12_4_64_varying_mass,a
65,4,10,1.31,0,1.438,varying_mass,10_4_65_varying_mass,a
